"cell","celltype","group","site","aneuploid"
"Cell1773","endothelial","endothelial","omental",FALSE
"Cell1774","endothelial","endothelial","omental",FALSE
"Cell1775","malignant","malignant_ascites","ascites",TRUE
"Cell1776","malignant","malignant_omental","omental",TRUE
"Cell1777","fibroblast","fibroblast","omental",FALSE
"Cell1778","fibroblast","fibroblast","omental",FALSE
"Cell1779","malignant","malignant_ascites","ascites",TRUE
"Cell1780","malignant","malignant_ascites","ascites",TRUE
"Cell1781","malignant","malignant_ascites","ascites",TRUE
"Cell1782","Tcell","Tcell","ascites",FALSE
"Cell1783","malignant","malignant_omental","omental",TRUE
"Cell1784","malignant","malignant_omental","omental",TRUE
"Cell1785","Tcell","Tcell","ascites",FALSE
"Cell1786","fibroblast","fibroblast","omental",FALSE
"Cell1787","malignant","malignant_omental","omental",TRUE
"Cell1788","malignant","malignant_omental","omental",TRUE
"Cell1789","adipocyte","adipocyte","omental",FALSE
"Cell1790","malignant","malignant_omental","omental",TRUE
"Cell1791","adipocyte","adipocyte","omental",FALSE
"Cell1792","Tcell","Tcell","omental",FALSE
"Cell1793","macrophage","macrophage","omental",FALSE
"Cell1794","malignant","malignant_omental","omental",TRUE
"Cell1795","malignant","malignant_ascites","ascites",TRUE
"Cell1796","malignant","malignant_omental","omental",TRUE
"Cell1797","fibroblast","fibroblast","omental",FALSE
"Cell1798","malignant","malignant_ascites","ascites",TRUE
"Cell1799","malignant","malignant_omental","omental",TRUE
"Cell1800","malignant","malignant_omental","omental",TRUE
"Cell1801","malignant","malignant_ascites","ascites",TRUE
"Cell1802","malignant","malignant_omental","omental",TRUE
"Cell1803","malignant","malignant_omental","omental",TRUE
"Cell1804","endothelial","endothelial","omental",FALSE
"Cell1805","macrophage","macrophage","omental",FALSE
"Cell1806","malignant","malignant_omental","omental",TRUE
"Cell1807","adipocyte","adipocyte","omental",FALSE
"Cell1808","malignant","malignant_ascites","ascites",TRUE
"Cell1809","malignant","malignant_omental","omental",TRUE
"Cell1810","malignant","malignant_ascites","ascites",TRUE
"Cell1811","fibroblast","fibroblast","ascites",FALSE
"Cell1812","adipocyte","adipocyte","omental",FALSE
"Cell1813","malignant","malignant_omental","omental",TRUE
"Cell1814","fibroblast","fibroblast","ascites",FALSE
"Cell1815","endothelial","endothelial","omental",FALSE
"Cell1816","fibroblast","fibroblast","omental",FALSE
"Cell1817","fibroblast","fibroblast","ascites",FALSE
"Cell1818","endothelial","endothelial","ascites",FALSE
"Cell1819","macrophage","macrophage","omental",FALSE
"Cell1820","malignant","malignant_omental","omental",TRUE
"Cell1821","macrophage","macrophage","ascites",FALSE
"Cell1822","fibroblast","fibroblast","ascites",FALSE
"Cell1823","malignant","malignant_omental","omental",TRUE
"Cell1824","malignant","malignant_ascites","ascites",TRUE
"Cell1825","malignant","malignant_omental","omental",TRUE
"Cell1826","malignant","malignant_omental","omental",TRUE
"Cell1827","malignant","malignant_ascites","ascites",TRUE
"Cell1828","macrophage","macrophage","omental",FALSE
"Cell1829","malignant","malignant_ascites","ascites",TRUE
"Cell1830","malignant","malignant_omental","omental",TRUE
"Cell1831","fibroblast","fibroblast","omental",FALSE
"Cell1832","fibroblast","fibroblast","omental",FALSE
"Cell1833","fibroblast","fibroblast","omental",FALSE
"Cell1834","malignant","malignant_omental","omental",TRUE
"Cell1835","malignant","malignant_ascites","ascites",TRUE
"Cell1836","malignant","malignant_omental","omental",TRUE
"Cell1837","malignant","malignant_omental","omental",TRUE
"Cell1838","malignant","malignant_ascites","ascites",TRUE
"Cell1839","macrophage","macrophage","omental",FALSE
"Cell1840","malignant","malignant_omental","omental",TRUE
"Cell1841","macrophage","macrophage","omental",FALSE
"Cell1842","adipocyte","adipocyte","omental",FALSE
"Cell1843","fibroblast","fibroblast","ascites",FALSE
"Cell1844","fibroblast","fibroblast","omental",FALSE
"Cell1845","malignant","malignant_ascites","ascites",TRUE
"Cell1846","fibroblast","fibroblast","omental",FALSE
"Cell1847","macrophage","macrophage","ascites",FALSE
"Cell1848","malignant","malignant_ascites","ascites",TRUE
"Cell1849","malignant","malignant_ascites","ascites",TRUE
"Cell1850","malignant","malignant_ascites","ascites",TRUE
"Cell1851","malignant","malignant_ascites","ascites",TRUE
"Cell1852","Tcell","Tcell","ascites",FALSE
"Cell1853","malignant","malignant_omental","omental",TRUE
"Cell1854","malignant","malignant_ascites","ascites",TRUE
"Cell1855","malignant","malignant_ascites","ascites",TRUE
"Cell1856","Tcell","Tcell","ascites",FALSE
"Cell1857","fibroblast","fibroblast","omental",FALSE
"Cell1858","macrophage","macrophage","omental",FALSE
"Cell1859","malignant","malignant_ascites","ascites",TRUE
"Cell1860","malignant","malignant_omental","omental",TRUE
"Cell1861","endothelial","endothelial","omental",FALSE
"Cell1862","macrophage","macrophage","ascites",FALSE
"Cell1863","adipocyte","adipocyte","omental",FALSE
"Cell1864","malignant","malignant_omental","omental",TRUE
"Cell1865","malignant","malignant_ascites","ascites",TRUE
"Cell1866","endothelial","endothelial","ascites",FALSE
"Cell1867","Tcell","Tcell","ascites",FALSE
"Cell1868","malignant","malignant_omental","omental",TRUE
"Cell1869","macrophage","macrophage","ascites",FALSE
"Cell1870","endothelial","endothelial","omental",FALSE
"Cell1871","macrophage","macrophage","ascites",FALSE
"Cell1872","malignant","malignant_omental","omental",TRUE
"Cell1873","fibroblast","fibroblast","ascites",FALSE
"Cell1874","endothelial","endothelial","omental",FALSE
"Cell1875","malignant","malignant_ascites","ascites",TRUE
"Cell1876","Tcell","Tcell","ascites",FALSE
"Cell1877","endothelial","endothelial","omental",FALSE
"Cell1878","Tcell","Tcell","omental",FALSE
"Cell1879","malignant","malignant_omental","omental",TRUE
"Cell1880","malignant","malignant_omental","omental",TRUE
"Cell1881","Tcell","Tcell","ascites",FALSE
"Cell1882","macrophage","macrophage","ascites",FALSE
"Cell1883","fibroblast","fibroblast","omental",FALSE
"Cell1884","malignant","malignant_ascites","ascites",TRUE
"Cell1885","malignant","malignant_ascites","ascites",TRUE
"Cell1886","endothelial","endothelial","ascites",FALSE
"Cell1887","macrophage","macrophage","omental",FALSE
"Cell1888","malignant","malignant_omental","omental",TRUE
"Cell1889","endothelial","endothelial","omental",FALSE
"Cell1890","Tcell","Tcell","omental",FALSE
"Cell1891","fibroblast","fibroblast","omental",FALSE
"Cell1892","macrophage","macrophage","omental",FALSE
"Cell1893","macrophage","macrophage","ascites",FALSE
"Cell1894","fibroblast","fibroblast","omental",FALSE
"Cell1895","malignant","malignant_ascites","ascites",TRUE
"Cell1896","malignant","malignant_omental","omental",TRUE
"Cell1897","Tcell","Tcell","ascites",FALSE
"Cell1898","malignant","malignant_ascites","ascites",TRUE
"Cell1899","Tcell","Tcell","ascites",FALSE
"Cell1900","malignant","malignant_omental","omental",TRUE
"Cell1901","Tcell","Tcell","ascites",FALSE
"Cell1902","endothelial","endothelial","omental",FALSE
"Cell1903","malignant","malignant_omental","omental",TRUE
"Cell1904","macrophage","macrophage","ascites",FALSE
"Cell1905","malignant","malignant_omental","omental",TRUE
"Cell1906","malignant","malignant_ascites","ascites",TRUE
"Cell1907","adipocyte","adipocyte","omental",FALSE
"Cell1908","malignant","malignant_ascites","ascites",TRUE
"Cell1909","malignant","malignant_omental","omental",TRUE
"Cell1910","adipocyte","adipocyte","omental",FALSE
"Cell1911","macrophage","macrophage","ascites",FALSE
"Cell1912","fibroblast","fibroblast","ascites",FALSE
"Cell1913","macrophage","macrophage","omental",FALSE
"Cell1914","malignant","malignant_omental","omental",TRUE
"Cell1915","malignant","malignant_ascites","ascites",TRUE
"Cell1916","Tcell","Tcell","ascites",FALSE
"Cell1917","malignant","malignant_omental","omental",TRUE
"Cell1918","malignant","malignant_ascites","ascites",TRUE
"Cell1919","malignant","malignant_omental","omental",TRUE
"Cell1920","malignant","malignant_omental","omental",TRUE
"Cell1921","malignant","malignant_ascites","ascites",TRUE
"Cell1922","endothelial","endothelial","ascites",FALSE
"Cell1923","macrophage","macrophage","omental",FALSE
"Cell1924","fibroblast","fibroblast","omental",FALSE
"Cell1925","Tcell","Tcell","ascites",FALSE
"Cell1926","malignant","malignant_omental","omental",TRUE
"Cell1927","Tcell","Tcell","omental",FALSE
"Cell1928","Tcell","Tcell","ascites",FALSE
"Cell1929","fibroblast","fibroblast","omental",FALSE
"Cell1930","adipocyte","adipocyte","omental",FALSE
"Cell1931","macrophage","macrophage","ascites",FALSE
"Cell1932","malignant","malignant_omental","omental",TRUE
"Cell1933","malignant","malignant_omental","omental",TRUE
"Cell1934","adipocyte","adipocyte","omental",FALSE
"Cell1935","malignant","malignant_omental","omental",TRUE
"Cell1936","macrophage","macrophage","ascites",FALSE
"Cell1937","malignant","malignant_omental","omental",TRUE
"Cell1938","malignant","malignant_ascites","ascites",TRUE
"Cell1939","malignant","malignant_ascites","ascites",TRUE
"Cell1940","adipocyte","adipocyte","omental",FALSE
"Cell1941","malignant","malignant_ascites","ascites",TRUE
"Cell1942","malignant","malignant_ascites","ascites",TRUE
"Cell1943","macrophage","macrophage","ascites",FALSE
"Cell1944","malignant","malignant_omental","omental",TRUE
"Cell1945","adipocyte","adipocyte","omental",FALSE
"Cell1946","malignant","malignant_omental","omental",TRUE
"Cell1947","endothelial","endothelial","omental",FALSE
"Cell1948","malignant","malignant_ascites","ascites",TRUE
"Cell1949","malignant","malignant_ascites","ascites",TRUE
"Cell1950","malignant","malignant_omental","omental",TRUE
"Cell1951","malignant","malignant_ascites","ascites",TRUE
"Cell1952","Tcell","Tcell","ascites",FALSE
"Cell1953","macrophage","macrophage","ascites",FALSE
"Cell1954","malignant","malignant_ascites","ascites",TRUE
"Cell1955","fibroblast","fibroblast","omental",FALSE
"Cell1956","malignant","malignant_ascites","ascites",TRUE
"Cell1957","adipocyte","adipocyte","ascites",FALSE
"Cell1958","endothelial","endothelial","omental",FALSE
"Cell1959","endothelial","endothelial","ascites",FALSE
"Cell1960","macrophage","macrophage","omental",FALSE
"Cell1961","Tcell","Tcell","ascites",FALSE
"Cell1962","malignant","malignant_omental","omental",TRUE
"Cell1963","malignant","malignant_omental","omental",TRUE
"Cell1964","malignant","malignant_ascites","ascites",TRUE
"Cell1965","malignant","malignant_ascites","ascites",TRUE
"Cell1966","malignant","malignant_ascites","ascites",TRUE
"Cell1967","macrophage","macrophage","ascites",FALSE
"Cell1968","fibroblast","fibroblast","ascites",FALSE
"Cell1969","endothelial","endothelial","omental",FALSE
"Cell1970","endothelial","endothelial","ascites",FALSE
"Cell1971","Tcell","Tcell","omental",FALSE
"Cell1972","fibroblast","fibroblast","omental",FALSE
"Cell1973","malignant","malignant_ascites","ascites",TRUE
"Cell1974","fibroblast","fibroblast","omental",FALSE
"Cell1975","malignant","malignant_ascites","ascites",TRUE
"Cell1976","malignant","malignant_ascites","ascites",TRUE
"Cell1977","endothelial","endothelial","omental",FALSE
"Cell1978","malignant","malignant_ascites","ascites",TRUE
"Cell1979","malignant","malignant_omental","omental",TRUE
"Cell1980","malignant","malignant_omental","omental",TRUE
"Cell1981","endothelial","endothelial","ascites",FALSE
"Cell1982","malignant","malignant_omental","omental",TRUE
"Cell1983","endothelial","endothelial","omental",FALSE
"Cell1984","endothelial","endothelial","ascites",FALSE
"Cell1985","fibroblast","fibroblast","omental",FALSE
"Cell1986","fibroblast","fibroblast","omental",FALSE
"Cell1987","malignant","malignant_omental","omental",TRUE
"Cell1988","malignant","malignant_ascites","ascites",TRUE
"Cell1989","fibroblast","fibroblast","omental",FALSE
"Cell1990","fibroblast","fibroblast","omental",FALSE
"Cell1991","malignant","malignant_omental","omental",TRUE
"Cell1992","fibroblast","fibroblast","omental",FALSE
"Cell1993","fibroblast","fibroblast","omental",FALSE
"Cell1994","fibroblast","fibroblast","omental",FALSE
"Cell1995","malignant","malignant_ascites","ascites",TRUE
"Cell1996","malignant","malignant_ascites","ascites",TRUE
"Cell1997","endothelial","endothelial","ascites",FALSE
"Cell1998","endothelial","endothelial","omental",FALSE
"Cell1999","fibroblast","fibroblast","omental",FALSE
"Cell2000","malignant","malignant_omental","omental",TRUE
"Cell2001","adipocyte","adipocyte","omental",FALSE
"Cell2002","malignant","malignant_omental","omental",TRUE
"Cell2003","malignant","malignant_omental","omental",TRUE
"Cell2004","malignant","malignant_omental","omental",TRUE
"Cell2005","Tcell","Tcell","ascites",FALSE
"Cell2006","fibroblast","fibroblast","ascites",FALSE
"Cell2007","macrophage","macrophage","omental",FALSE
"Cell2008","fibroblast","fibroblast","ascites",FALSE
"Cell2009","malignant","malignant_omental","omental",TRUE
"Cell2010","Tcell","Tcell","omental",FALSE
"Cell2011","fibroblast","fibroblast","ascites",FALSE
"Cell2012","malignant","malignant_ascites","ascites",TRUE
"Cell2013","macrophage","macrophage","ascites",FALSE
"Cell2014","malignant","malignant_ascites","ascites",TRUE
"Cell2015","Tcell","Tcell","omental",FALSE
"Cell2016","adipocyte","adipocyte","ascites",FALSE
"Cell2017","malignant","malignant_ascites","ascites",TRUE
"Cell2018","malignant","malignant_omental","omental",TRUE
"Cell2019","fibroblast","fibroblast","ascites",FALSE
"Cell2020","fibroblast","fibroblast","omental",FALSE
"Cell2021","adipocyte","adipocyte","omental",FALSE
"Cell2022","Tcell","Tcell","omental",FALSE
"Cell2023","malignant","malignant_ascites","ascites",TRUE
"Cell2024","malignant","malignant_ascites","ascites",TRUE
"Cell2025","malignant","malignant_ascites","ascites",TRUE
"Cell2026","malignant","malignant_omental","omental",TRUE
"Cell2027","malignant","malignant_omental","omental",TRUE
"Cell2028","Tcell","Tcell","ascites",FALSE
"Cell2029","malignant","malignant_ascites","ascites",TRUE
"Cell2030","fibroblast","fibroblast","ascites",FALSE
"Cell2031","fibroblast","fibroblast","omental",FALSE
"Cell2032","malignant","malignant_omental","omental",TRUE
"Cell2033","adipocyte","adipocyte","omental",FALSE
"Cell2034","Tcell","Tcell","omental",FALSE
"Cell2035","malignant","malignant_omental","omental",TRUE
"Cell2036","malignant","malignant_omental","omental",TRUE
"Cell2037","fibroblast","fibroblast","omental",FALSE
"Cell2038","malignant","malignant_ascites","ascites",TRUE
"Cell2039","macrophage","macrophage","omental",FALSE
"Cell2040","fibroblast","fibroblast","ascites",FALSE
"Cell2041","macrophage","macrophage","omental",FALSE
"Cell2042","macrophage","macrophage","ascites",FALSE
"Cell2043","fibroblast","fibroblast","omental",FALSE
"Cell2044","malignant","malignant_ascites","ascites",TRUE
"Cell2045","endothelial","endothelial","omental",FALSE
"Cell2046","Tcell","Tcell","omental",FALSE
"Cell2047","fibroblast","fibroblast","ascites",FALSE
"Cell2048","malignant","malignant_ascites","ascites",TRUE
"Cell2049","fibroblast","fibroblast","omental",FALSE
"Cell2050","adipocyte","adipocyte","omental",FALSE
"Cell2051","malignant","malignant_ascites","ascites",TRUE
"Cell2052","adipocyte","adipocyte","omental",FALSE
"Cell2053","malignant","malignant_ascites","ascites",TRUE
"Cell2054","malignant","malignant_ascites","ascites",TRUE
"Cell2055","malignant","malignant_ascites","ascites",TRUE
"Cell2056","adipocyte","adipocyte","omental",FALSE
"Cell2057","malignant","malignant_omental","omental",TRUE
"Cell2058","Tcell","Tcell","omental",FALSE
"Cell2059","malignant","malignant_omental","omental",TRUE
"Cell2060","adipocyte","adipocyte","omental",FALSE
"Cell2061","malignant","malignant_ascites","ascites",TRUE
"Cell2062","endothelial","endothelial","ascites",FALSE
"Cell2063","malignant","malignant_ascites","ascites",TRUE
"Cell2064","malignant","malignant_ascites","ascites",TRUE
"Cell2065","adipocyte","adipocyte","omental",FALSE
"Cell2066","malignant","malignant_omental","omental",TRUE
"Cell2067","malignant","malignant_omental","omental",TRUE
"Cell2068","malignant","malignant_ascites","ascites",TRUE
"Cell2069","malignant","malignant_omental","omental",TRUE
"Cell2070","malignant","malignant_ascites","ascites",TRUE
"Cell2071","macrophage","macrophage","ascites",FALSE
"Cell2072","malignant","malignant_omental","omental",TRUE
"Cell2073","macrophage","macrophage","omental",FALSE
"Cell2074","fibroblast","fibroblast","ascites",FALSE
"Cell2075","malignant","malignant_omental","omental",TRUE
"Cell2076","malignant","malignant_ascites","ascites",TRUE
"Cell2077","malignant","malignant_ascites","ascites",TRUE
"Cell2078","malignant","malignant_omental","omental",TRUE
"Cell2079","malignant","malignant_omental","omental",TRUE
"Cell2080","malignant","malignant_omental","omental",TRUE
"Cell2081","endothelial","endothelial","omental",FALSE
"Cell2082","malignant","malignant_omental","omental",TRUE
"Cell2083","endothelial","endothelial","omental",FALSE
"Cell2084","macrophage","macrophage","ascites",FALSE
"Cell2085","malignant","malignant_omental","omental",TRUE
"Cell2086","macrophage","macrophage","omental",FALSE
"Cell2087","fibroblast","fibroblast","omental",FALSE
"Cell2088","malignant","malignant_omental","omental",TRUE
"Cell2089","malignant","malignant_ascites","ascites",TRUE
"Cell2090","fibroblast","fibroblast","ascites",FALSE
"Cell2091","fibroblast","fibroblast","ascites",FALSE
"Cell2092","macrophage","macrophage","omental",FALSE
"Cell2093","fibroblast","fibroblast","omental",FALSE
"Cell2094","fibroblast","fibroblast","omental",FALSE
"Cell2095","malignant","malignant_ascites","ascites",TRUE
"Cell2096","malignant","malignant_ascites","ascites",TRUE
"Cell2097","malignant","malignant_omental","omental",TRUE
"Cell2098","malignant","malignant_ascites","ascites",TRUE
"Cell2099","endothelial","endothelial","omental",FALSE
"Cell2100","malignant","malignant_omental","omental",TRUE
"Cell2101","malignant","malignant_omental","omental",TRUE
"Cell2102","malignant","malignant_omental","omental",TRUE
"Cell2103","Tcell","Tcell","omental",FALSE
"Cell2104","fibroblast","fibroblast","omental",FALSE
"Cell2105","malignant","malignant_ascites","ascites",TRUE
"Cell2106","adipocyte","adipocyte","omental",FALSE
"Cell2107","endothelial","endothelial","omental",FALSE
"Cell2108","Tcell","Tcell","ascites",FALSE
"Cell2109","adipocyte","adipocyte","omental",FALSE
"Cell2110","malignant","malignant_omental","omental",TRUE
"Cell2111","fibroblast","fibroblast","ascites",FALSE
"Cell2112","Tcell","Tcell","omental",FALSE
"Cell2113","macrophage","macrophage","omental",FALSE
"Cell2114","malignant","malignant_ascites","ascites",TRUE
"Cell2115","endothelial","endothelial","omental",FALSE
"Cell2116","macrophage","macrophage","ascites",FALSE
"Cell2117","macrophage","macrophage","omental",FALSE
"Cell2118","malignant","malignant_omental","omental",TRUE
"Cell2119","malignant","malignant_ascites","ascites",TRUE
"Cell2120","endothelial","endothelial","ascites",FALSE
"Cell2121","malignant","malignant_ascites","ascites",TRUE
"Cell2122","malignant","malignant_omental","omental",TRUE
"Cell2123","malignant","malignant_omental","omental",TRUE
"Cell2124","adipocyte","adipocyte","omental",FALSE
"Cell2125","endothelial","endothelial","ascites",FALSE
"Cell2126","macrophage","macrophage","ascites",FALSE
"Cell2127","malignant","malignant_omental","omental",TRUE
"Cell2128","fibroblast","fibroblast","omental",FALSE
"Cell2129","fibroblast","fibroblast","omental",FALSE
"Cell2130","fibroblast","fibroblast","ascites",FALSE
"Cell2131","malignant","malignant_ascites","ascites",TRUE
"Cell2132","malignant","malignant_omental","omental",TRUE
"Cell2133","malignant","malignant_omental","omental",TRUE
"Cell2134","fibroblast","fibroblast","omental",FALSE
"Cell2135","fibroblast","fibroblast","ascites",FALSE
"Cell2136","fibroblast","fibroblast","omental",FALSE
"Cell2137","malignant","malignant_omental","omental",TRUE
"Cell2138","endothelial","endothelial","omental",FALSE
"Cell2139","macrophage","macrophage","ascites",FALSE
"Cell2140","fibroblast","fibroblast","omental",FALSE
"Cell2141","malignant","malignant_omental","omental",TRUE
"Cell2142","Tcell","Tcell","ascites",FALSE
"Cell2143","macrophage","macrophage","ascites",FALSE
"Cell2144","adipocyte","adipocyte","omental",FALSE
"Cell2145","adipocyte","adipocyte","omental",FALSE
"Cell2146","adipocyte","adipocyte","omental",FALSE
"Cell2147","fibroblast","fibroblast","ascites",FALSE
"Cell2148","malignant","malignant_omental","omental",TRUE
"Cell2149","malignant","malignant_omental","omental",TRUE
"Cell2150","malignant","malignant_ascites","ascites",TRUE
"Cell2151","fibroblast","fibroblast","omental",FALSE
"Cell2152","malignant","malignant_ascites","ascites",TRUE
"Cell2153","fibroblast","fibroblast","omental",FALSE
"Cell2154","fibroblast","fibroblast","omental",FALSE
"Cell2155","malignant","malignant_omental","omental",TRUE
"Cell2156","Tcell","Tcell","ascites",FALSE
"Cell2157","malignant","malignant_ascites","ascites",TRUE
"Cell2158","malignant","malignant_omental","omental",TRUE
"Cell2159","Tcell","Tcell","ascites",FALSE
"Cell2160","adipocyte","adipocyte","omental",FALSE
"Cell2161","macrophage","macrophage","omental",FALSE
"Cell2162","malignant","malignant_ascites","ascites",TRUE
"Cell2163","fibroblast","fibroblast","omental",FALSE
"Cell2164","malignant","malignant_omental","omental",TRUE
"Cell2165","fibroblast","fibroblast","omental",FALSE
"Cell2166","endothelial","endothelial","omental",FALSE
"Cell2167","adipocyte","adipocyte","omental",FALSE
"Cell2168","endothelial","endothelial","omental",FALSE
"Cell2169","malignant","malignant_omental","omental",TRUE
"Cell2170","endothelial","endothelial","ascites",FALSE
"Cell2171","endothelial","endothelial","ascites",FALSE
"Cell2172","malignant","malignant_omental","omental",TRUE
"Cell2173","macrophage","macrophage","omental",FALSE
"Cell2174","endothelial","endothelial","omental",FALSE
"Cell2175","fibroblast","fibroblast","omental",FALSE
"Cell2176","malignant","malignant_ascites","ascites",TRUE
"Cell2177","endothelial","endothelial","omental",FALSE
"Cell2178","endothelial","endothelial","omental",FALSE
"Cell2179","malignant","malignant_ascites","ascites",TRUE
"Cell2180","Tcell","Tcell","omental",FALSE
"Cell2181","adipocyte","adipocyte","omental",FALSE
"Cell2182","malignant","malignant_omental","omental",TRUE
"Cell2183","malignant","malignant_omental","omental",TRUE
"Cell2184","endothelial","endothelial","omental",FALSE
"Cell2185","malignant","malignant_omental","omental",TRUE
"Cell2186","macrophage","macrophage","omental",FALSE
"Cell2187","fibroblast","fibroblast","omental",FALSE
"Cell2188","malignant","malignant_omental","omental",TRUE
"Cell2189","malignant","malignant_omental","omental",TRUE
"Cell2190","adipocyte","adipocyte","omental",FALSE
"Cell2191","fibroblast","fibroblast","omental",FALSE
"Cell2192","fibroblast","fibroblast","omental",FALSE
"Cell2193","malignant","malignant_omental","omental",TRUE
"Cell2194","malignant","malignant_ascites","ascites",TRUE
"Cell2195","malignant","malignant_omental","omental",TRUE
"Cell2196","macrophage","macrophage","ascites",FALSE
"Cell2197","malignant","malignant_ascites","ascites",TRUE
"Cell2198","malignant","malignant_ascites","ascites",TRUE
"Cell2199","adipocyte","adipocyte","omental",FALSE
"Cell2200","fibroblast","fibroblast","omental",FALSE
"Cell2201","malignant","malignant_omental","omental",TRUE
"Cell2202","malignant","malignant_ascites","ascites",TRUE
"Cell2203","Tcell","Tcell","omental",FALSE
"Cell2204","malignant","malignant_omental","omental",TRUE
"Cell2205","malignant","malignant_ascites","ascites",TRUE
"Cell2206","malignant","malignant_omental","omental",TRUE
"Cell2207","malignant","malignant_omental","omental",TRUE
"Cell2208","fibroblast","fibroblast","ascites",FALSE
"Cell2209","fibroblast","fibroblast","ascites",FALSE
"Cell2210","macrophage","macrophage","ascites",FALSE
"Cell2211","malignant","malignant_ascites","ascites",TRUE
"Cell2212","fibroblast","fibroblast","ascites",FALSE
"Cell2213","malignant","malignant_ascites","ascites",TRUE
"Cell2214","malignant","malignant_omental","omental",TRUE
"Cell2215","malignant","malignant_ascites","ascites",TRUE
"Cell2216","Tcell","Tcell","ascites",FALSE
"Cell2217","malignant","malignant_ascites","ascites",TRUE
"Cell2218","adipocyte","adipocyte","omental",FALSE
"Cell2219","fibroblast","fibroblast","ascites",FALSE
"Cell2220","macrophage","macrophage","ascites",FALSE
"Cell2221","malignant","malignant_ascites","ascites",TRUE
"Cell2222","fibroblast","fibroblast","omental",FALSE
"Cell2223","malignant","malignant_omental","omental",TRUE
"Cell2224","malignant","malignant_ascites","ascites",TRUE
"Cell2225","fibroblast","fibroblast","ascites",FALSE
"Cell2226","fibroblast","fibroblast","omental",FALSE
"Cell2227","malignant","malignant_ascites","ascites",TRUE
"Cell2228","fibroblast","fibroblast","ascites",FALSE
"Cell2229","fibroblast","fibroblast","omental",FALSE
"Cell2230","fibroblast","fibroblast","omental",FALSE
"Cell2231","malignant","malignant_omental","omental",TRUE
"Cell2232","malignant","malignant_omental","omental",TRUE
"Cell2233","malignant","malignant_ascites","ascites",TRUE
"Cell2234","adipocyte","adipocyte","omental",FALSE
"Cell2235","fibroblast","fibroblast","ascites",FALSE
"Cell2236","fibroblast","fibroblast","omental",FALSE
"Cell2237","Tcell","Tcell","omental",FALSE
"Cell2238","endothelial","endothelial","ascites",FALSE
"Cell2239","fibroblast","fibroblast","ascites",FALSE
"Cell2240","malignant","malignant_omental","omental",TRUE
"Cell2241","malignant","malignant_ascites","ascites",TRUE
"Cell2242","malignant","malignant_ascites","ascites",TRUE
"Cell2243","malignant","malignant_omental","omental",TRUE
"Cell2244","malignant","malignant_ascites","ascites",TRUE
"Cell2245","malignant","malignant_ascites","ascites",TRUE
"Cell2246","fibroblast","fibroblast","omental",FALSE
"Cell2247","malignant","malignant_ascites","ascites",TRUE
"Cell2248","malignant","malignant_ascites","ascites",TRUE
"Cell2249","endothelial","endothelial","omental",FALSE
"Cell2250","malignant","malignant_omental","omental",TRUE
"Cell2251","Tcell","Tcell","ascites",FALSE
"Cell2252","fibroblast","fibroblast","omental",FALSE
"Cell2253","malignant","malignant_omental","omental",TRUE
"Cell2254","malignant","malignant_omental","omental",TRUE
"Cell2255","malignant","malignant_ascites","ascites",TRUE
"Cell2256","malignant","malignant_omental","omental",TRUE
"Cell2257","adipocyte","adipocyte","ascites",FALSE
"Cell2258","adipocyte","adipocyte","omental",FALSE
"Cell2259","Tcell","Tcell","ascites",FALSE
"Cell2260","malignant","malignant_omental","omental",TRUE
"Cell2261","malignant","malignant_ascites","ascites",TRUE
"Cell2262","endothelial","endothelial","ascites",FALSE
"Cell2263","malignant","malignant_omental","omental",TRUE
"Cell2264","Tcell","Tcell","ascites",FALSE
"Cell2265","adipocyte","adipocyte","omental",FALSE
"Cell2266","malignant","malignant_omental","omental",TRUE
"Cell2267","malignant","malignant_ascites","ascites",TRUE
"Cell2268","malignant","malignant_ascites","ascites",TRUE
"Cell2269","malignant","malignant_ascites","ascites",TRUE
"Cell2270","macrophage","macrophage","omental",FALSE
"Cell2271","macrophage","macrophage","omental",FALSE
"Cell2272","Tcell","Tcell","omental",FALSE
"Cell2273","malignant","malignant_omental","omental",TRUE
"Cell2274","macrophage","macrophage","ascites",FALSE
"Cell2275","malignant","malignant_ascites","ascites",TRUE
"Cell2276","fibroblast","fibroblast","ascites",FALSE
"Cell2277","endothelial","endothelial","omental",FALSE
"Cell2278","malignant","malignant_ascites","ascites",TRUE
"Cell2279","malignant","malignant_ascites","ascites",TRUE
"Cell2280","malignant","malignant_omental","omental",TRUE
"Cell2281","fibroblast","fibroblast","omental",FALSE
"Cell2282","malignant","malignant_ascites","ascites",TRUE
"Cell2283","macrophage","macrophage","ascites",FALSE
"Cell2284","fibroblast","fibroblast","omental",FALSE
"Cell2285","malignant","malignant_ascites","ascites",TRUE
"Cell2286","macrophage","macrophage","omental",FALSE
"Cell2287","fibroblast","fibroblast","omental",FALSE
"Cell2288","malignant","malignant_ascites","ascites",TRUE
"Cell2289","Tcell","Tcell","ascites",FALSE
"Cell2290","endothelial","endothelial","omental",FALSE
"Cell2291","malignant","malignant_ascites","ascites",TRUE
"Cell2292","endothelial","endothelial","omental",FALSE
"Cell2293","Tcell","Tcell","ascites",FALSE
"Cell2294","fibroblast","fibroblast","omental",FALSE
"Cell2295","malignant","malignant_omental","omental",TRUE
"Cell2296","Tcell","Tcell","ascites",FALSE
"Cell2297","macrophage","macrophage","omental",FALSE
